timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788744765886,40,GET Request,200,OK,Grupo GET Request 1-18,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,40,0,0
1788744765926,39,GET Request,200,OK,Grupo GET Request 1-18,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,39,0,0
1788744765926,40,GET Request,200,OK,Grupo GET Request 1-19,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,40,0,1
1788744765966,39,GET Request,200,OK,Grupo GET Request 1-18,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,39,0,0
1788744765966,40,GET Request,200,OK,Grupo GET Request 1-19,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,40,0,0
1788744766006,38,GET Request,200,OK,Grupo GET Request 1-19,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766035,39,GET Request,200,OK,Grupo GET Request 1-20,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766045,38,GET Request,200,OK,Grupo GET Request 1-19,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766074,38,GET Request,200,OK,Grupo GET Request 1-20,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766083,38,GET Request,200,OK,Grupo GET Request 1-19,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766112,38,GET Request,200,OK,Grupo GET Request 1-20,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744766151,40,GET Request,200,OK,Grupo GET Request 1-20,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,40,0,0
1788744766149,42,GET Request,200,OK,Grupo GET Request 1-21,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,42,0,1
1788744766191,42,GET Request,200,OK,Grupo GET Request 1-21,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,42,0,0
1788744766191,43,GET Request,200,OK,Grupo GET Request 1-20,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,43,0,0
1788744766233,53,GET Request,200,OK,Grupo GET Request 1-21,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,53,0,0
